ìÂ;ìÀ
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16274600;5.1627E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16298400;5.1630E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16322300;5.1632E-03
5.16346100;5.1635E-03
5.16346100;5.1635E-03
5.16346100;5.1635E-03
5.16346100;5.1635E-03
5.16346100;5.1635E-03
5.16346100;5.1635E-03
